Malaysia,Thailand,Vietnam,avgRegion
31.1,35.3,31.3,25.69
31.1,35.2,31.5,25.64
31.1,35.8,31.3,25.49
30.9,34.2,31.2,25.35
31,35.5,31.3,25.77
31.1,36.3,31.6,25.84
30.9,34.9,31.1,25.45
30.8,35.3,31.2,25.5
31,35,31.4,25.56
30.8,34.6,31.3,25.44
30.9,34.9,31.4,25.73
31.3,35.3,31.8,25.72
31,35.4,31.1,25.57
31.6,35.1,31.6,25.73
31.2,35,31.3,25.74
31.2,35.1,31.4,25.51
30.9,35.2,31.1,25.39
30.7,34.2,31.2,25.47
31.3,35.2,31.4,25.81
31.2,34.8,31.3,25.67
30.8,35.1,31.5,25.53
30.8,34.8,32,25.69
31.1,34.3,31,25.57
31,34.7,31.5,25.67
31.3,34.1,31.4,25.48
31.5,35.4,31.5,25.8
31.2,34.2,31.5,25.65
31.3,34.7,31.4,25.75
31.2,34.4,31.7,25.64
31.1,34.9,31.8,25.75
31.5,36,31.9,25.97
31,35.1,32.3,25.69
31.3,35.2,31.8,25.76
31,34.8,31.9,25.56
31,35.2,31.7,25.89
31.1,35.2,31.6,25.7
30.9,35.6,31.2,25.83
30.9,34.3,31,25.58
31.1,34.6,31.2,25.54
31.3,36.3,31.6,25.76
31.8,36.3,31.8,26.28
31,35,31.5,25.75
31.1,34.7,31.6,25.52
31.1,35.9,31.2,25.65
31.1,35.1,31.7,25.65
30.9,34.9,31.7,25.84
31.1,34.7,31.7,25.86
31.3,34.6,31.3,25.75
30.9,34.9,31.7,25.69
30.9,34.7,31.4,25.62
31,35.5,31.2,25.61
31.1,35,32,25.66
31.1,34.7,31.6,25.67
31,35.9,31.6,25.56
31.2,34.3,31.6,25.3
31,34.6,31.2,25.23
31.2,35.2,32.1,25.65
31.5,36.3,32.7,25.79
30.7,35.3,32,25.7
31.2,36.3,31.7,25.77
31,35.1,31.3,25.52
31,35.5,31.7,25.4
31,35.2,32.7,25.42
30.8,35.7,31.3,25.46
30.5,34.8,31.2,25.45
31.2,35.6,30.9,25.83
30.7,34.5,31.7,25.35
30.8,33.9,31.3,25.51
31.2,35.5,32.3,25.73
30.8,34.8,31.2,25.58
31.1,34.9,30.9,25.21
31.5,35.1,32.1,25.68
31.1,36.1,31.7,25.83
30.8,33.7,31.2,25.39
30.9,35.3,31.1,25.5
30.8,34.7,31.2,25.35
31.2,34.5,32.5,25.57
31,35.2,31.5,25.73
31.5,36,31.6,25.97
31.5,35.8,31.7,25.86
31.8,34.3,31.4,25.62
31.1,34.4,31.3,25.63
32.2,36.8,32.1,25.89
30.9,34.8,31.1,25.51
31.2,34.4,31.1,25.61
31.5,34.7,31.4,25.66
31.7,35.7,32.3,26.18
31.3,34.9,32.1,26
30.9,35.9,31.5,25.85
31.4,35.8,32.2,26.16
31.4,35.7,31.9,26.15
31.8,37,32.1,25.92
31.3,34.9,32.3,25.94
31.1,35.6,31.7,26.06
31.4,35.9,32.1,26
31.4,34.4,31.6,25.81
31.5,34.3,31.9,26.13
32.3,36.1,32.3,26.66
31.2,34.7,31.6,25.9
31.7,33.9,31.5,25.95
31.6,36.3,31.2,26.13
31.8,35.2,31.8,26.21
31.7,35.3,31.9,26.12
31.8,35.7,31.4,26.03
31.5,35.1,32.3,26.2
31.1,34.4,31.7,26.15
31.4,34.8,32,26.01
31,34.2,30.9,25.73
31.6,34.2,31.7,26.13
31.8,36.4,32.1,26.4
31.2,33.2,31.5,25.83
31.6,35,31.7,26.31
31.7,35.5,31.7,26.16
31.5,35.2,32.3,26.23
31.9,35.2,32.9,26.48
32.2,37.3,32.3,26.63
31.5,34.2,31.5,26.24
32.1,33.7,31.5,26.24
32.1,36.6,32.4,26.65
32,35.4,32.9,26.55
31.6,34.7,32.3,26.33
31.8,34.2,31.8,26.16
